Date,Open,High,Low,Close,Adj Close,Volume
6/5/2017,8.4,8.59,8.28,8.57,8.57,1390500
6/6/2017,8.5,8.62,8.375,8.49,8.49,1547600
6/7/2017,8.51,8.64,8.43,8.44,8.44,1364200
6/8/2017,8.44,8.59,8.4,8.53,8.53,974900
6/9/2017,8.52,8.66,8.33,8.37,8.37,1785400
6/12/2017,8.31,8.55,8.3,8.53,8.53,1505000
6/13/2017,8.53,8.57,8.43,8.43,8.43,1181400
6/14/2017,8.46,8.47,8.3,8.34,8.34,1508800
6/15/2017,8.22,8.305,8.07,8.07,8.07,1549500
6/16/2017,8.04,8.06,7.57,7.77,7.77,4628500
6/19/2017,7.77,7.891,7.62,7.84,7.84,2711200
6/20/2017,7.86,7.99,7.71,7.8,7.8,3051000
6/21/2017,7.88,7.88,7.6,7.7,7.7,1937700
6/22/2017,7.63,7.83,7.62,7.74,7.74,1518200
6/23/2017,7.73,7.86,7.68,7.82,7.82,4992900
6/26/2017,7.76,8.35,7.75,8.19,8.19,3515100
6/27/2017,8.15,8.46,8.12,8.14,8.14,2619000
6/28/2017,8.15,8.37,8.12,8.25,8.25,1494700
6/29/2017,8.23,8.33,8.15,8.28,8.28,1317700
6/30/2017,8.26,8.31,8.09,8.13,8.13,1789600
7/3/2017,8.15,8.2,7.999,8.19,8.19,687500
7/5/2017,8.04,8.12,7.91,8.05,8.05,1623800
7/6/2017,7.98,8.26,7.95,8,8,1925600
7/7/2017,8,8.11,7.9,7.98,7.98,1705800
7/10/2017,7.98,8.08,7.925,7.96,7.96,1126800
7/11/2017,7.97,8.06,7.89,7.95,7.95,1284200
7/12/2017,8,8.12,7.99,8.12,8.12,1333700
7/13/2017,8.05,8.49,8.05,8.44,8.44,2722300
7/14/2017,8.4,8.44,8.06,8.18,8.18,2878600
7/17/2017,8.18,8.27,8.075,8.11,8.11,1658100
7/18/2017,8.08,8.11,7.92,7.99,7.99,2036600
7/19/2017,7.95,8.095,7.946,8.07,8.07,1742100
7/20/2017,8.02,8.28,8.005,8.01,8.01,2081400
7/21/2017,8.04,8.07,7.91,7.96,7.96,1778300
7/24/2017,7.96,8.05,7.88,8.03,8.03,1873800
7/25/2017,8.02,8.19,7.96,8.09,8.09,2416300
7/26/2017,8.1,8.26,8.059,8.18,8.18,1667100
7/27/2017,8.21,8.23,7.92,8.06,8.06,1774900
7/28/2017,8.01,8.13,7.96,8.1,8.1,1684400
7/31/2017,8.31,8.39,8.13,8.24,8.24,2217500
8/1/2017,8.3,8.33,7.96,8.08,8.08,3277300
8/2/2017,8.06,8.16,7.98,8.03,8.03,1591500
8/3/2017,8.05,8.38,8.05,8.26,8.26,6293800
8/4/2017,9.54,10.38,9.31,9.85,9.85,28773500
8/7/2017,9.8,10.365,9.51,10.16,10.16,13177500
8/8/2017,10.11,10.85,10.09,10.52,10.52,9429700
8/9/2017,10.35,10.4,9.951,10.16,10.16,6149700
8/10/2017,10.17,10.42,9.75,9.78,9.78,5070700
8/11/2017,9.79,9.98,9.61,9.88,9.88,4592800
8/14/2017,9.9,9.95,9.58,9.74,9.74,3925500
8/15/2017,10.02,10.48,9.879,9.88,9.88,7031700
8/16/2017,9.9,9.93,9.29,9.41,9.41,6268800
8/17/2017,9.43,9.61,9.3,9.32,9.32,3145800
8/18/2017,9.34,9.36,9.03,9.05,9.05,4399000
8/21/2017,9.03,9.12,8.71,8.76,8.76,3786500
8/22/2017,8.8,9.1,8.67,9.06,9.06,4051600
8/23/2017,8.99,9.28,8.91,9.21,9.21,2642200
8/24/2017,9.25,9.31,9.06,9.13,9.13,2002000
8/25/2017,9.43,9.44,9.13,9.13,9.13,3103000
8/28/2017,9.13,9.29,8.9,9.26,9.26,2471000
8/29/2017,9.12,9.24,9.06,9.15,9.15,1753900
8/30/2017,9.15,9.19,9.05,9.11,9.11,1716700
8/31/2017,9.11,9.22,9.1,9.21,9.21,1968900
9/1/2017,9.18,9.45,8.99,9,9,3390200
9/5/2017,8.91,9.05,8.79,8.93,8.93,2609100
9/6/2017,8.96,9.04,8.77,8.9,8.9,2883600
9/7/2017,10.01,10.89,9.83,10,10,32831800
9/8/2017,10.1,10.4,9.83,10.26,10.26,9736000
9/11/2017,10.36,11.37,10.31,10.92,10.92,17263800
9/12/2017,11.09,11.29,10.6,10.89,10.89,8559300
